frame.number	dis.timestamp	dis.entity_linear_velocity.x	dis.entity_linear_velocity.y	dis.entity_linear_velocity.z	dis.entity_location.x	dis.entity_location.y	dis.entity_location.z
23930	846.284927000	-46.4675	66.9299	78.1439	1322209.30200719	-4340613.03442126	4473825.47351616
24008	846.485053000	-46.4675	66.9302	78.1436	1322200.00893202	-4340599.64946683	4473841.10281384
24101	846.701806000	-46.4657	66.928	78.1404	1322189.94142675	-4340585.14898325	4473858.03439819
24323	847.268735000	-46.4658	66.9289	78.1397	1322163.61095633	-4340547.22415019	4473902.31667303
24564	847.869023000	-46.4621	66.9177	78.1514	1322135.73171268	-4340507.06818836	4473949.20361453
24796	848.452640000	-46.4675	66.9333	78.141	1322108.62676657	-4340468.0267782	4473994.78735334
24865	848.619408000	-46.4675	66.9335	78.1408	1322100.88250761	-4340456.87202772	4474007.81121793
24938	848.819511000	-46.4675	66.9338	78.1405	1322091.58942054	-4340443.48635125	4474023.43989018
25032	849.036282000	-46.4658	66.9316	78.1373	1322081.5219024	-4340428.98508547	4474040.37079695
25278	849.619905000	-46.4676	66.9351	78.1394	1322054.41700052	-4340389.94282442	4474085.95383334
25364	849.820003000	-46.4639	66.9232	78.1517	1322045.12390836	-4340376.55683851	4474101.58223753
25426	849.986754000	-46.4676	66.9356	78.1389	1322037.3796436	-4340365.40173562	4474114.60579683
25517	850.186847000	-46.4639	66.9238	78.1513	1322028.08654958	-4340352.01563626	4474130.23410273
25588	850.353597000	-46.4639	66.9241	78.151	1322020.34228327	-4340340.86043882	4474143.25758012
25641	850.503678000	-46.4658	66.9339	78.1353	1322013.37241441	-4340330.82060385	4474154.97850672
25865	851.070613000	-46.4659	66.9348	78.1346	1321987.04195075	-4340292.89264124	4474199.25810521
26098	851.654237000	-46.4639	66.9261	78.1493	1321959.93701874	-4340253.84854507	4474244.83955185
26185	851.804335000	-46.4622	66.9238	78.1462	1321952.96720649	-4340243.80861048	4474256.5604268
26396	852.354587000	-46.4639	66.9272	78.1484	1321927.41109405	-4340206.99491944	4474299.53661453
26463	852.504700000	-46.4659	66.937	78.1326	1321920.44121759	-4340196.95462033	4474311.25713903
26669	853.038260000	-46.4659	66.9378	78.1319	1321895.65955618	-4340161.25600648	4474352.93056346
26910	853.638557000	-46.4622	66.9266	78.1437	1321867.78022464	-4340121.09469143	4474399.81286751
27124	854.172132000	-46.4659	66.9396	78.1304	1321842.99848638	-4340085.39494037	4474441.48527205
27371	854.772439000	-46.4623	66.9284	78.1422	1321815.11913763	-4340045.23257327	4474488.36666464
27608	855.356066000	-46.4677	66.9439	78.1318	1321788.01408943	-4340006.18493582	4474533.94500859
